Reported Date,Resolved Date,Incident,Incident Start Time,Incident End Time,MTTR (hh:mm),Business Platform - Area of Cause,Product Portfolio -Area of cause,Impacted Business Platform,Impacted Product portfolio,Impacted business process,Inc Category,Description,Organisation,Team ,Financial Impact,Application/Service Impacted?,RC Status,Problem Record,Background,Next Steps / Solution,Initial RCA Date,Final RCA Date (Once the cause is fully known),Solution Identified Date,Planned Solution Deployment  Date,Actual Solution Deployment  Date,Does an alert already exist? Is configuration required/applicable?,Was the incident identified through the alert?,Does a  workaround exist ? Was it used?,Is Permanent Fix Deployed?,RC Category,Issue caused due to CR or WO,Root Cause,Reference CR/WO,Reason for failed change/issue,Risk ID/ Backlog id,Closed Date,Closed Month,Closed Year,Problem manager,Open/Closed,MIM,Problem actions - Added?  Y/N/NA,Year,Month #,Month Name,Current day,Ageing,Aging Bucket
4/19/2025,4/19/2025,90735114,13:20,15:10,01:50,GTS,Enterprise Technology Platform,"Customer Channels, Group Platforms, C&H and Intl","Selling Experience, Service Experience, Platform and Store Ops, HR, Finance, C&H and Intl Supply Chain",Manage Payment & Point of Sales in store,MI,"Store tills not accepting contactless Payment, Digital Cafe and C&C down",,,,,RC in progress,PBI000000072502,"Between 13:20 and 15:10, issues were reported with contactless payments and digital café operations. Contactless payments were impacted across all stores, and digital cafés were unable to serve customers on the kiosks. In-store applications such as Collect, In-Store Fulfilment, and Returns were unavailable, and colleagues were unable to log in to Honeywell devices. Additionally, the Salford Quays and Chester Contact Centers were unable to receive customer calls. Operations at the Swindon and Ollerton DCs were also affected. Investigations revealed a spike in Dynatrace sessions on the Stockley Park FortiGate firewall, leading to increased CPU utilization. Services were restored after disabling the IPS engine on the firewall. Root cause analysis is currently underway to determine the next steps and develop a plan for re-enabling the IPS engine.",,,,,,,,,,,,,,,,,,,,,Open,,,2025,4,April,9/16/2025,150,>60
4/17/2025,4/19/2025,90730450,4:00,12:00,56:00,Group Platforms,Finance,"Group Platforms, Data, C&H and Intl","Finance, Data, C&H Commercial Trading",,SI,"Delay in overnight GMOR, EDW and BEAM Reporting batches",SAP,NA,,,,PBI000000072503,"Alerting indicated a delay in the overnight GMOR batch completion at 04:00 due to performance issues within the SAP ECC system. This impacted the availability of GMOR Business Object reports, EDW day-1 finance reports, Foods daily board reports, BEAM daily C&H Goods receipt and Purchase order reports. The initial root cause is attributed to a high utilization of work processors in SAP ECC system caused by ECOM billing job. A restart of SAP ECC and SAP BW system was performed on 17/04, however, the performance improvements were observed since 18:00, 18/04 and the GMOR batches on 19/04 completed without any issues. Finance Day-1 reports were made available with a delay by 11:38 on 19/04. Performance of the SAP ECC system have remained stable since 18/04 and all overnight batches completed without any delay. Hypercare monitoring in place as we await updates from vendor SAP.",,,,,,,,,,,,,,,,,,,,,Open,,,2025,4,April,9/16/2025,152,>60
4/17/2025,4/17/2025,TBC,0:00,13:30,13:30,Customer Channels,Selling Experience,Customer Channels,"Customer engagement  &
Selling Experience",Manage Online Payment & Content ,MI,Promotion error live on .com Website,,,,,RC identified,,"Customers were placing orders with a 15% student promotion on the Customer UK website and mobile apps from 00:00. Around 11.7 K orders were placed with the incorrect promotion resulting in loss of revenue. The root cause was attributed incorrect 15% promotion setup at site level instead of products based promotion by the Online Promotion team. To mitigate the impact, the incorrect promotion was disabled across all the website pages and WCS nightly batch was executed to refresh pricing information in the site. Root cause investigations underway",,,,,,,,,,,,,,,,,,,,,Open,,,2025,4,April,9/16/2025,152,>60
4/15/2025,4/15/2025,90726388,,,00:00,Foods,Food Supply Chain,Foods,Food Supply Chain,Manage Allocation of Food Stock,KI,Delay in sending foods final orders to the suppliers,,,,,RC identified,,There was a delay in sending the foods final orders to suppliers impacting the suppliers picking operations. Root cause was attributed to a combination of a delay in Relex overnight batch completion and connectivity issues with the message processing within FOAL layer due to an underlying auto scaling configuration issue in the North Europe region. The FOAL system was failed over to the West Europe region and the supplier orders were sent at 06:30. The configuration for Auto-scaling was enabled in North Europe and FOAL system failed back to North Europe for resilience by 16:00. Overnight monitoring is in place.,,,,,,,,,,,,,,,,,,,,,Open,,,2025,4,April,9/16/2025,154,>60
4/10/2025,4/10/2025,90719020,9:26,10:07,00:41,Customer Channels,Service Experience,"Customer Channels, C&H and Intl","C&H and Intl Supply Chain, Platform and Store Ops, Service Experience",Manage Online Payment & Content ,MI,Order history unavailable for customers and colleagues impacting returns,Customer,OMS,See note,.com Orders,RC identified,72278,"Alerting indicated an API connectivity failure within the Order Management System (OMS) which prevented customers from accessing order history and initiate returns between 09:26 and 10:07. Store colleagues were unable to process returns using Honeywell and self-service kiosk tablets. Return operations at the Ollerton DC were affected, resulting in a capability loss of 460 orders and productivity loss of 10 hours. The root cause was attributed to a password change within the OMS database, which was reinstated to restore services.",,4/10/2025,,,,,,,,,Change Failure,,"
Root cause attributed to the password change activity, due to misunderstanding the activity was performed during a no change day window which will be reviewed and change management process will followed moving forward.
DIAG user account has read only access and used by OMS Support/Dev teams for the purpose of operational support (using Bastion) only. It was not known why/when it was configured in returns prod API, although the non-prod is configured to use a different account (stradmin).",,Knowledge gap,,,,,Gokul,Open,.Com SM,Y,2025,4,April,9/16/2025,159,>60
4/9/2025,4/9/2025,90716711,10:30,12:00,01:30,Customer Channels,Customer engagement,Customer Channels,Customer engagement,Manage Payment & Point of Sales in store,SI,Card payment failures across Travel Money Bureau stores,Verifone,NA,See note,Travel money exchange -Card Transactions,RC in progress,72394,"Customers were unable to exchange currency using their credit/debit cards across 47 Travel Bureau stores on the Verifone pin-pads between 10:30 and 12:00. However, as a workaround, customers were able to use cash or click and collect on the website. The initial root cause was attributed to a connectivity issue within Verifone's POS cloud. Awaiting root cause and resolution details from Verifone",,4/9/2025,,,,,,,,,External Dependencies,,The initial root cause was attributed to a connectivity issue within Verifone's POS cloud. Awaiting root cause and resolution details from Verifone,,,,,,,Naveen,Open,MIM,Y,2025,4,April,9/16/2025,160,>60
4/3/2025,4/3/2025,90704278,5:21,9:28,04:07,Business Process Services,Business Process Services,Customer Channels,"Customer engagement  &
Selling Experience",Manage Online Payment & Content ,MI,Search Services performance impacting search results & PLPs,Customer,BPS Team (Merch hub),"£115,000.00",.com Orders,RC identified,72356,Business colleagues highlighted that customers were unable to search products or view PLPs on the UK & ROI website across all channels between 05:21 and 09:28. Approx. 300 customers/min were impacted resulting in a poor customer experience & loss of sales. The root cause was attributed to a business error whilst amending a global rule configuration within Merch Hub application which was reverted to restore the services.,,4/3/2025,,,,,,,,,Operational Process Issues,,"A global “Include Only” rule was inadvertently implemented in Merch Hub by the business, which restricted the visibility of products to only those associated with the brand GOLA. This rule functioned as intended, applying a filter across all search results and product listing pages (PLPs) to exclusively display GOLA products",NA,NA,NA,,,,Gokul,Open,.Com SM,Y,2025,4,April,9/16/2025,166,>60
4/2/2025,4/7/2025,90702974,12:00,13:00,121:00,C&H and Intl ,C&H Commercial Trading, C&H and Intl,C&H Commercial Trading,Others,MI,C&H PLM (Product Lifecycle Management) application has been made unavailable due to a data issue,PTC,PTC,No Financial Impact,PLM (Product Lifecycle management),RC identified,72270,"C&H PLM application was unavailable to colleagues and suppliers, impacting product management activities between 12:00 and 22:44. This has also caused a cascading effect on cost prices, article updates, and seasonal changes sent to Domain Services, SSI, and Range Planner. The root cause was attributed to the data refresh activity across PLM non prod environments by vendor PTC resulting in flow of PLM non prod data into downstream systems. The impacted articles were retriggered by PTC and majority of the data recovery is completed based on the comparison with non-prod and further recovery actions will be performed on Monday. ",,4/2/2025,,,,,,,,,External Dependencies,,The root cause was attributed to the data refresh activity across PLM non prod environments by vendor PTC resulting in flow of PLM non prod data into downstream systems,NA,NA,NA,,,,Saloni,Open,MIM,,2025,4,April,9/16/2025,167,>60
4/2/2025,4/2/2025,90702108,8:40,14:00,05:20,GTS,Digital Workplace Services,"Customer Channels, Food, C&H and Intl, Group platforms","Data, C&H Supply Chain, Foods, Platform and Store Ops, Finance, Service Experience",Others,SI,Power BI Reports inaccessible due to Central Microsoft issue,Microsoft,Microsoft,No Financial Impact,"Compliance Reports, Foods Analytics Reporting, Stock Integrity & Finance accounting, DC planning activities",RC identified,72358,"Power BI reports were inaccessible across multiple business areas impacting Store Compliance Reports, Foods Analytics Reporting, Stock Integrity & Finance accounting, DC planning activities etc. The root cause was attributed to a central issue within Microsoft which was restored by Microsoft at 14:00. We await root cause & recovery updates from Microsoft.",,3/2/2025,,,,,,,,,External Dependencies,,"Microsoft updated that ""A recent deployment introduced a race condition which could cause system nodes to have a lower connection limit. This caused customer requests routed to the affected nodes to experience additional request latency or request timeouts.""",NA,NA,NA,,,,Balaji,Open,MIM,PIR scheduled on 8th,2025,4,April,9/16/2025,167,>60
4/1/2025,4/2/2025,90700168,16:44,15:57,23:13,Customer Channels,Service Experience,Customer Channels,"Platform and Store Ops, Service Experience",Others,KI,Missing customer information from parcels impacting C&C store operations,Customer,Click and Collect,See note,Click and collect,RC identified,72404,"Ecom DC operations reported an increase in number of orders that is missing billing information and the stand operation procedure was followed to fulfil these orders. Around 1507 orders were impacted. Stores colleagues and customer were unable to search the orders by name, however order IDs were used to find the orders by Store colleagues. The root cause has been attributed to a change made on 01/04 for click and collect customers, which resulted in the billing address being sent as blank to the order and warehouse management systems. The change was reverted to restore the services and to mitigate the impact, customer names for all impacted orders were provided to stores to aid in the collection process.",,4/1/2025,,,,,,,,,Change Failure,,"The root cause has been attributed to a change made on 01/04 for click and collect customers, which resulted in the billing address being sent as blank to the order and warehouse management systems",TBC,TBC,,,,,Kavitha,Open,.Com SM,PIR to be held ,2025,4,April,9/16/2025,168,>60
