Business Platform,Product portfolio,Incident,Action Open Date,Title,Action,Action categorization,Action Owner,Action updates,DevOps / Product Team,Tactical/Strategic,ETA ,Action closed date,Key Actions,Status,Risk ID ,Backlog ID ,Back log Status,Problem Manager,Current day,Ageing,Aging Bucket,Action Closed month,Action closed year
Customer Channels,Customer Engagement,90716711,10/04/25,Connectivity issues with Ignite Travel Bureau Stores,"Define the financial impact of this issue, given that all PEDs were offline. We have visibility of the number of failed card transactions during the affected period and can use the Average Transaction Value (ATV) to estimate the potential revenue loss. Additionally, gather data on customer complaints to assess the broader impact.",Impact analysis,"Valliammai, Chris , Daniel",,Travel Money,Tactical,16/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90716711,10/04/25,Connectivity issues with Ignite Travel Bureau Stores,Create a comms template for travel bureaus similar to the one we have for have one for Worldline credit card issues.,Business & IT Communication,"Valliammai, Chris , Daniel",,Travel Money,Tactical,17/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90716711,10/04/25,Connectivity issues with Ignite Travel Bureau Stores,"MIM communications were delayed due to uncertainty over which portfolio takes ownership of Travel Bureaus. Further discussion is needed with product owners and leadership to clarify ownership, as this currently sits with Customer Engagement. The agreed distribution list should also be provided for comms.",Supplier and support involvement,"Priyabrata S , Valliammai",,Travel Money,Tactical,24/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90716711,10/04/25,Connectivity issues with Ignite Travel Bureau Stores,Review and propose internal alerting via the network for issues relating to Travel Bureau connectivity to PED's,Problem identification & Alerting,Nick Baldwin,,Network,Tactical,24/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90716711,10/04/25,Connectivity issues with Ignite Travel Bureau Stores,"Ask Verifone whether they have alerting in place for this type of issue, and if so, whether their alerts were triggered. Could communication with Customer have been improved in that case? Additionally, what is their formal communication process, and who is included in their agreed distribution list?",Problem identification & Alerting,James Baxter,,Travel Money,Tactical,24/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90716711,10/04/25,Connectivity issues with Ignite Travel Bureau Stores,"Root cause and resolution details pending from Verifone, we will also ascertain what are their SLA's with regards to root cause",Root cause,James Baxter,,Travel Money,Tactical,24/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",Analyse Oracle DB timezone setting within JDA (WMS). ,Solution & Recovery,"Kunal Chickar, Jishin Jacob",WMS and Oracle DBA team to collaborate and analyze the feasibility to save the time stamp received from OMS and not to change it again to BST.,WMS and DBA team,,15/04/25,,,Open,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Service Experience,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",Review the SFI interface (Std fulfilment interface) between OMS and Mulesoft/WMS to pre-empt future issues,Problem avoidance,Andrei / Suresh,"Based on the analysis, decisions can be made to remove the shipment date or to remove the time from the delivery date as only the date is relevant, however action requires deeper analysis. ",OMS,,15/04/25,,,Open,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",Explore the feasibility to set-up an alert to notify the drop in order volume for a specific delivery date. ,Problem identification & Alerting,Kunal Chickar/ WMS Team,,WMs,,15/04/25,,,Open,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",Ensure we do not have the same issue during the next clock change ,Problem avoidance,OMS/WMS team,There will be an action added as part of the clock change readiness for both OMS and WMS to validate all the cut-off time and Lead time before the clock change and necessary actions will be taken before the clock change. ,OMS; WMS,,NA,01/04/25,,Closed,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",Ensure MIM is engaged on a timely manner as soon as DC's see a significant impact.,Issue handling/Management ,Service Leads- CD,It has been agreed to loop in MIM as soon as we see a significant increase in impact.,Service Leads- CD,,NA,01/04/25,,Closed,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ","Before moving the proposition, an assessment needs to be performed on the impact- by comparing the lost sales due to prop move vs avoiding CFR. ",Solution & Recovery,Service Leads- CD,,Service Leads- CD,,NA,01/04/25,,Closed,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Service Experience,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",OMS to update their runbook with the recovery steps taken during the incident for future reference. ,Solution & Recovery,Vipin -OMS,,OMS,,15/04/25,,,Open,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90693741,01/04/25,"Ecom orders not dropping in at Donington, Ollerton, Thorncliffe DC's for delivery date 30/03 ",Perform an end-to-end impact assessment and ensure we have right actions captured to mitigate the overall impact before resolving the incident,Impact analysis,MIM and WMS,"During the incident, the first priority was to mitigate the impact for orders with the delivery date of 30/03. However, we failed to analyze and track the future orders that were impacted due to the same scenario. This is a lesson learnt, during any recurrence of such incidents in future, this actions will be addressed before setting the incident to resolved. ",MIM and WMS,,NA,01/04/25,,Closed,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Operations,90698496,09/04/25, Microsoft central outage impacting multiple services hosted within Northern Europe,"Define and document clear expectations for the information Microsoft should provide when joining a major incident call. Engage vendor management to ensure these expectations are communicated, agreed upon, and consistently met.",Supplier and support involvement,Rehan Siddiqui,,MIM,,15/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Platform & Store Ops ,90698496,09/04/25, Microsoft central outage impacting multiple services hosted within Northern Europe,"As there is currently no disaster recovery (DR) solution in place for the Scan & Shop mobile application, an accepted risk should be formally raised to document this gap.",Solution & Recovery,Ezhilarasi Baghavan,"15/04: Ezhil is OOO until 22nd, hence reached out to the product owner Lauren, if a risk has been raised and we need to check with Priyabrata (OOO - 15/04)",Store Product,,22/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Operations,90698496,09/04/25, Microsoft central outage impacting multiple services hosted within Northern Europe,Request and obtain the full Root Cause Analysis (RCA) statement from Microsoft. ,Root cause,Rehan Siddiqui,15/04: Awaiting root cause from Microsoft,MIM,,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,ETP- Cloud operations / Frameworks,90698496,09/04/25, Microsoft central outage impacting multiple services hosted within Northern Europe,"Review the current alerting configuration for VMs, which is set to trigger only after five minutes of consistent unresponsiveness, to ensure earlier detection of issues related to service impact.",Problem identification & Alerting,Emmanuel George,15/04: Team is still reviewing on it,Cloud Operations,,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90698496,09/04/25, Microsoft central outage impacting multiple services hosted within Northern Europe,WCS database failover currently takes approximately four minutes. Review the feasibility of implementing an active-active solution to reduce or eliminate service disruption.,Problem avoidance,Charly Webster,17/04/2025 This is being worked on by the WCS team and we will come back before the ETA.,Head of Engineering ,,05/06/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90698496,09/04/25, Microsoft central outage impacting multiple services hosted within Northern Europe,The WCS database disaster recovery (DR) test has not been conducted. A DR test plan should be developed and scheduled as a priority.,Problem avoidance,Charly Webster,17/04/2025 This is being worked on by the WCS team and we will come back before the ETA.,Head of Engineering ,,05/06/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Data,Digital & Data,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,Detailed root cause and information regarding the delayed resolution are yet to be shared by Microsoft,Solution & Recovery,"Supriyo Pal Barrett, Timothy Ramya Vadivel",Power BI is part of the O365 bundle (SaaS) and needs clarification from Microsoft vendor.,Microsoft Vendor ,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Data,Digital & Data,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,Microsoft Vendor needs to clarify if Power BI Uptime is dependent on Availability Zone's Uptime.,Problem identification & Alerting,"Supriyo PalBarrett, Timothy",Power BI is part of the O365 bundle (SaaS) and needs clarification from Microsoft vendor.,Microsoft Vendor ,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
